<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
18/10/22,09:00:00,0.9857200,0.9863100,0.9848100,0.9853700,118390
18/10/22,10:00:00,0.9853700,0.9872800,0.9844800,0.9862600,168455
18/10/22,11:00:00,0.9862400,0.9873600,0.9829100,0.9857300,209397
18/10/22,12:00:00,0.9856900,0.9859300,0.9823000,0.9829100,175107
18/10/22,13:00:00,0.9828500,0.9853600,0.9826000,0.9837100,205472
18/10/22,14:00:00,0.9837700,0.9846200,0.9811000,0.9819100,146968
18/10/22,15:00:00,0.9819200,0.9840100,0.9817000,0.9831200,154672
18/10/22,16:00:00,0.9831500,0.9858000,0.9822600,0.9854100,175684
18/10/22,17:00:00,0.9854100,0.9875600,0.9844000,0.9852500,211031
18/10/22,18:00:00,0.9852100,0.9859100,0.9822800,0.9849700,231414
18/10/22,19:00:00,0.9850000,0.9850000,0.9819500,0.9841400,203828
18/10/22,20:00:00,0.9841400,0.9860500,0.9834900,0.9855800,156062
18/10/22,21:00:00,0.9855900,0.9860300,0.9839900,0.9853000,173037
18/10/22,22:00:00,0.9853200,0.9859900,0.9839400,0.9849000,134326
18/10/22,23:00:00,0.9849600,0.9857700,0.9843300,0.9856000,109903
19/10/22,00:00:00,0.9857200,0.9863900,0.9851000,0.9855900,48106
19/10/22,01:00:00,0.9854300,0.9862700,0.9852000,0.9862000,7888
19/10/22,02:00:00,0.9861500,0.9868900,0.9857200,0.9866700,36956
19/10/22,03:00:00,0.9866300,0.9872500,0.9859000,0.9862700,68492
19/10/22,04:00:00,0.9862700,0.9867000,0.9851400,0.9860800,108621
19/10/22,05:00:00,0.9860800,0.9864400,0.9851600,0.9857800,117496
19/10/22,06:00:00,0.9858600,0.9861300,0.9846700,0.9852400,94501
19/10/22,07:00:00,0.9852000,0.9855600,0.9841000,0.9843800,69290
19/10/22,08:00:00,0.9843000,0.9846300,0.9834900,0.9839200,60451
19/10/22,09:00:00,0.9839800,0.9844000,0.9829500,0.9835500,84002
19/10/22,10:00:00,0.9835500,0.9841000,0.9818100,0.9821900,179778
19/10/22,11:00:00,0.9821800,0.9839500,0.9813700,0.9839000,204320
19/10/22,12:00:00,0.9839000,0.9839500,0.9810800,0.9816700,178639
19/10/22,13:00:00,0.9816700,0.9824000,0.9802700,0.9818000,149432
19/10/22,14:00:00,0.9817800,0.9821100,0.9779000,0.9780800,145416
19/10/22,15:00:00,0.9780700,0.9784300,0.9757200,0.9783300,184051
19/10/22,16:00:00,0.9783200,0.9783900,0.9762700,0.9779500,176927
19/10/22,17:00:00,0.9779300,0.9796000,0.9770000,0.9774000,229227
19/10/22,18:00:00,0.9773800,0.9802700,0.9768400,0.9791000,212347
19/10/22,19:00:00,0.9790200,0.9794500,0.9776000,0.9778500,164587
19/10/22,20:00:00,0.9778400,0.9781600,0.9762600,0.9765800,150988
19/10/22,21:00:00,0.9765700,0.9773700,0.9754900,0.9766000,143954
19/10/22,22:00:00,0.9766000,0.9778600,0.9760700,0.9766700,103451
19/10/22,23:00:00,0.9766500,0.9776800,0.9762300,0.9772800,108032
20/10/22,00:00:00,0.9772900,0.9776200,0.9768200,0.9772600,52818
20/10/22,01:00:00,0.9773000,0.9774700,0.9767000,0.9771500,4812
20/10/22,02:00:00,0.9772800,0.9776100,0.9762400,0.9765400,27633
20/10/22,03:00:00,0.9764800,0.9767300,0.9758400,0.9764000,46262
20/10/22,04:00:00,0.9765000,0.9771800,0.9755900,0.9764600,109229
20/10/22,05:00:00,0.9764100,0.9765300,0.9752400,0.9758400,111519
20/10/22,06:00:00,0.9758200,0.9766600,0.9753700,0.9764500,96348
20/10/22,07:00:00,0.9764800,0.9766600,0.9754200,0.9760900,67786
20/10/22,08:00:00,0.9761000,0.9785700,0.9757100,0.9778300,134347
